"","ratio_pc_01","ratio_pc_02","ratio_pc_03","ratio_pc_04","ratio_pc_05","ratio_pc_06","ratio_pc_07","ratio_pc_08","ratio_pc_09","ratio_pc_10","ratio_pc_11"
"olink_VEGFR_2",0.0497563814360401,0.0653312288909006,0.0359055595948998,0.0257002123576508,0.0866280169497018,0.160550517151932,0.01096529298312,0.0868006418336307,0.0228416668432303,0.017045181709828,0.011297340743955
"olink_ANG_1",0.0572364779699723,0.0776208059161243,0.00266046781650741,0.0206864134866562,0.0747043468523784,0.0226195521938272,0.13563300911142,0.0553311449580817,0.0401996244255424,0.00239319046005925,0.0597456741480044
"olink_ANGPT2",0.163753742135933,0.158505428254978,0.0276923711144022,0.0260553120862238,0.0682152414318948,0.134347779155323,0.194147757850226,0.1282511955241,0.0930325329159186,0.0230417878574219,0.0434921424512385
"olink_TIE2",0.0137610373634998,0.0357201069532882,0.0378884246959217,0.103353100016768,0.00783538420667297,0.0396389312895278,0.0194664548461689,0.179212399877066,0.00377374200411027,0.0849453064313682,0.0595044755354581
"olink_PGF",0.0661809965981431,0.0546138905141918,0.0151677787684886,0.0890109973862826,0.0240666404099598,0.00234965118013745,0.0905177518788156,0.200490650254671,0.0920171646713393,0.0328958274973853,0.026777862841606
"olink_NOS3",0.124889563124087,0.130937726444825,0.0320738812631052,0.0429928422013351,0.0401910641578802,0.208763833861114,0.103379721645216,0.0863289854806752,0.0674068116599013,0.0214168019719663,0.0382932196372529
"olink_TRAIL",0.0867489578307042,0.155890301140559,0.00511707564781804,0.0409984970029111,0.0530052400720511,0.158105220508116,0.0433983212690836,0.115788287494682,0.0357072659543834,0.0139323280941465,0.00226844904358179
"olink_FASLG",0.190659558121781,0.229454242985676,0.0111409532636257,0.061966505377411,0.0512252933253021,0.221342679556759,0.0612814780932568,0.162810637007525,0.0765735359982595,0.00580727546105215,0.0158608179612012
"olink_TWEAK",0.124064547973486,0.140786962653177,0.00193990286191148,0.00412527025592304,0.0385761746548906,0.163858144536855,0.0415914267759258,0.116729067781762,0.0360697949220632,0.0592523202222672,0.0798930708094986
"olink_CASP_8",0.0261830828779923,0.026000469999946,0.0463545384728,0.0309832819146629,0.238703174324141,0.0155479734810891,0.171977994263027,0.0607312106900378,0.0840934845466301,0.137580929331563,0.020438008079263
