length	ct_index	w_count	hard0	hard30	hard50	all_count
88	5	34.2045	2	2	1	674
88	6	64.2138	2	2	2	674
88	7	160.2773	308	208	21	674
88	8	18.9858	0	0	0	674
88	9	29.1063	0	0	0	674
88	10	16.7300	0	0	0	674
89	1	76.2103	9	6	5	759
89	2	41.5903	11	10	7	759
89	3	270.5389	416	313	178	759
89	4	13.4023	0	0	0	759
89	5	38.7097	1	1	1	759
89	6	70.1530	3	2	0	759
89	7	173.1584	313	193	25	759
89	8	23.5207	3	3	3	759
89	9	32.4762	2	1	1	759
89	10	19.2403	1	1	0	759
90	1	101.5564	9	5	4	1033
90	2	52.5262	7	7	5	1033
90	3	353.6750	519	412	218	1033
90	4	19.1709	1	1	1	1033
90	5	53.0753	2	2	2	1033
90	6	103.6164	7	6	5	1033
90	7	248.4665	487	303	30	1033
90	8	29.4075	0	0	0	1033
90	9	44.9686	0	0	0	1033
90	10	26.5374	1	1	1	1033
91	1	126.1861	13	7	2	1342
91	2	62.0324	9	7	5	1342
91	3	473.0762	684	539	313	1342
91	4	23.4121	0	0	0	1342
91	5	69.9719	8	8	8	1342
91	6	135.2103	11	10	9	1342
91	7	322.0290	612	419	42	1342
91	8	38.9851	1	1	0	1342
91	9	56.1253	1	0	0	1342
91	10	34.9718	3	3	2	1342
92	1	152.5170	9	6	5	1584
92	2	80.6810	17	11	10	1584
92	3	534.1281	775	626	313	1584
92	4	28.7778	1	1	1	1584
92	5	80.8229	4	3	3	1584
92	6	158.6814	5	5	5	1584
92	7	392.4834	765	481	55	1584
92	8	47.0998	2	2	2	1584
92	9	67.6673	3	2	1	1584
92	10	41.1413	3	3	2	1584
93	1	150.2761	12	9	3	1525
93	2	73.7223	11	7	6	1525
93	3	523.7770	782	614	323	1525
93	4	27.7910	1	1	0	1525
93	5	78.1090	3	3	3	1525
93	6	150.3292	6	6	6	1525
93	7	369.6265	703	469	38	1525
93	8	47.3944	5	5	4	1525
93	9	63.9476	1	1	1	1525
93	10	40.0269	1	1	1	1525
94	1	116.3139	7	5	3	1192
94	2	56.4860	7	4	4	1192
94	3	410.1231	588	460	269	1192
94	4	20.5695	0	0	0	1192
94	5	64.3566	6	6	6	1192
94	6	122.3306	7	7	7	1192
94	7	282.9060	571	376	31	1192
94	8	35.7101	2	2	1	1192
94	9	53.1353	4	4	2	1192
94	10	30.0685	0	0	0	1192
95	1	94.5532	9	4	3	989
95	2	47.9236	9	9	6	989
95	3	336.4837	471	374	218	989
95	4	17.8551	2	2	2	989
95	5	49.4573	5	3	3	989
95	6	99.9541	8	6	5	989
95	7	245.7359	480	324	48	989
95	8	27.7193	0	0	0	989
95	9	44.4990	4	3	3	989
95	10	24.8190	1	1	1	989
96	1	91.4292	8	6	4	925
96	2	46.3650	8	6	5	925
96	3	314.3083	448	352	190	925
96	4	16.9587	2	2	2	925
96	5	46.7661	2	2	1	925
96	6	92.6689	4	4	2	925
96	7	224.8924	446	287	34	925
96	8	26.8715	1	1	1	925
96	9	40.3580	5	5	3	925
96	10	24.3816	1	1	1	925
97	1	95.2504	12	8	5	930
97	2	43.0539	2	1	1	930
97	3	308.9117	446	345	186	930
97	4	16.6964	0	0	0	930
97	5	47.6835	3	3	2	930
97	6	96.7812	9	7	5	930
97	7	228.1514	453	290	27	930
97	8	27.9028	1	1	1	930
97	9	40.9636	4	4	1	930
97	10	24.6050	0	0	0	930
98	1	100.2648	7	5	4	1053
98	2	52.5003	6	5	4	1053
98	3	362.5010	544	410	225	1053
98	4	19.9745	2	2	1	1053
98	5	52.1798	4	4	1	1053
98	6	105.8006	6	5	4	1053
98	7	255.8722	480	318	44	1053
98	8	30.9584	1	1	1	1053
98	9	45.8737	2	2	2	1053
98	10	27.0747	1	1	1	1053
99	1	126.0151	16	9	4	1294
99	2	64.0754	12	10	7	1294
99	3	451.8209	634	521	294	1294
99	4	23.4464	1	1	1	1294
99	5	63.8871	3	3	1	1294
99	6	127.5651	10	9	4	1294
99	7	309.9575	611	404	43	1294
99	8	37.8957	2	2	2	1294
99	9	55.3183	4	3	2	1294
99	10	34.0187	1	1	1	1294
100	1	152.6438	15	8	4	1581
100	2	77.9313	14	10	7	1581
100	3	538.0895	796	620	348	1581
100	4	27.9831	2	2	2	1581
100	5	79.6280	2	2	2	1581
100	6	161.1897	11	10	7	1581
100	7	388.5574	738	485	62	1581
100	8	47.4284	2	2	2	1581
100	9	68.5183	1	1	1	1581
100	10	39.0307	0	0	0	1581
101	1	178.3084	14	7	3	1801
101	2	88.3725	11	8	6	1801
101	3	606.0720	871	678	387	1801
101	4	32.4607	1	1	1	1801
101	5	89.8677	1	1	1	1801
101	6	180.2592	9	9	5	1801
101	7	442.8679	883	564	74	1801
101	8	53.3975	1	1	1	1801
101	9	80.6281	5	3	2	1801
101	10	48.7661	5	5	5	1801
102	1	194.6060	19	11	4	1999
102	2	99.0239	10	5	3	1999
102	3	674.7636	1001	777	414	1999
102	4	36.2385	3	3	1	1999
102	5	101.9058	5	5	4	1999
102	6	199.9228	11	9	5	1999
102	7	488.8342	937	631	73	1999
102	8	61.1985	5	5	4	1999
102	9	89.1985	6	5	3	1999
102	10	53.3079	2	2	2	1999
103	1	195.2087	21	10	5	2000
103	2	94.9303	15	9	5	2000
103	3	682.1851	994	784	446	2000
103	4	36.0882	1	1	1	2000
103	5	101.6107	6	5	4	2000
103	6	199.7817	11	8	5	2000
103	7	490.4001	943	637	79	2000
103	8	60.2133	3	3	2	2000
103	9	88.0742	3	2	2	2000
103	10	51.5076	3	3	2	2000
104	1	189.1978	26	20	11	1869
104	2	86.8431	13	9	4	1869
104	3	624.2521	883	684	386	1869
104	4	33.1636	2	2	1	1869
104	5	98.3412	11	11	11	1869
104	6	191.3714	20	16	8	1869
104	7	460.0626	908	594	74	1869
104	8	54.9305	1	1	1	1869
104	9	80.6777	3	2	2	1869
104	10	50.1600	2	2	1	1869
105	1	167.1530	12	9	4	1726
105	2	83.4951	14	7	5	1726
105	3	596.9009	840	671	403	1726
105	4	29.8987	1	1	0	1726
105	5	85.7544	3	3	2	1726
105	6	170.4590	9	9	6	1726
105	7	423.7154	839	558	57	1726
105	8	50.6663	3	3	0	1726
105	9	74.2175	4	3	3	1726
105	10	43.7397	1	1	0	1726
106	1	164.2635	19	9	3	1695
106	2	80.8386	13	8	6	1695
106	3	570.6263	799	646	357	1695
106	4	30.2299	3	2	1	1695
106	5	87.7766	7	5	5	1695
106	6	171.6744	16	14	5	1695
106	7	418.9390	829	573	63	1695
106	8	51.7135	4	4	4	1695
106	9	74.6021	3	3	2	1695
106	10	44.3363	2	2	2	1695
107	1	169.1877	16	9	6	1734
107	2	81.0104	12	8	6	1734
107	3	587.6502	851	679	365	1734
107	4	29.4870	0	0	0	1734
107	5	90.9058	8	8	3	1734
107	6	176.4918	9	9	4	1734
