length	ct_index	w_count	hard0	hard30	hard50	all_count
82	7	350.3829	634	438	20	1825
82	8	62.2098	5	5	5	1825
82	9	111.2777	12	2	1	1825
82	10	78.7210	12	10	9	1825
83	1	148.7551	21	10	6	1477
83	2	54.1122	5	5	4	1477
83	3	570.6726	925	763	413	1477
83	4	30.3028	0	0	0	1477
83	5	66.7677	4	4	3	1477
83	6	127.4741	8	8	6	1477
83	7	285.5637	488	342	17	1477
83	8	51.6040	7	7	4	1477
83	9	86.9578	17	9	6	1477
83	10	54.7902	2	0	0	1477
84	1	113.0124	12	6	2	1178
84	2	41.1848	3	3	3	1178
84	3	472.6387	755	627	362	1178
84	4	23.1688	0	0	0	1178
84	5	52.2068	3	3	3	1178
84	6	97.1117	4	3	1	1178
84	7	225.9498	380	273	26	1178
84	8	38.0309	5	4	3	1178
84	9	69.1585	13	5	2	1178
84	10	45.5375	3	1	1	1178
85	1	113.3394	20	12	7	1158
85	2	42.2832	4	4	4	1158
85	3	468.1981	735	630	353	1158
85	4	23.9768	1	1	1	1158
85	5	52.1497	6	6	6	1158
85	6	90.5562	5	3	2	1158
85	7	218.5767	375	266	22	1158
85	8	34.1297	1	1	1	1158
85	9	69.9478	9	7	4	1158
85	10	44.8422	2	1	1	1158
86	1	119.4562	18	11	7	1186
86	2	40.9905	4	4	4	1186
86	3	481.1425	770	637	374	1186
86	4	22.9771	1	1	0	1186
86	5	51.8814	6	5	5	1186
86	6	101.8070	14	14	8	1186
86	7	218.4445	365	258	23	1186
86	8	36.7463	1	1	1	1186
86	9	67.4907	5	2	1	1186
86	10	45.0642	2	1	1	1186
87	1	117.4372	18	6	2	1203
87	2	41.5818	2	1	1	1203
87	3	484.0889	768	636	370	1203
87	4	24.5238	1	1	1	1203
87	5	50.7858	1	1	1	1203
87	6	97.8855	4	2	0	1203
87	7	222.9206	382	281	13	1203
87	8	39.2477	5	4	3	1203
87	9	74.1239	17	4	2	1203
87	10	50.4054	5	5	5	1203
88	1	134.2677	13	3	2	1390
88	2	51.4886	8	8	6	1390
88	3	560.8647	901	744	437	1390
88	4	29.0289	1	1	1	1390
88	5	62.2589	4	4	4	1390
88	6	113.8838	6	5	4	1390
88	7	252.4221	434	291	19	1390
88	8	46.0524	4	4	4	1390
88	9	83.4097	18	7	2	1390
88	10	56.3233	1	1	1	1390
89	1	144.4357	17	8	2	1484
89	2	53.1534	2	2	2	1484
89	3	590.9315	921	766	444	1484
89	4	30.4290	1	1	1	1484
89	5	67.2813	6	6	6	1484
89	6	119.5779	8	7	6	1484
89	7	279.4077	499	327	28	1484
89	8	48.3530	4	4	4	1484
89	9	90.8330	19	11	7	1484
89	10	59.5975	7	6	5	1484
90	1	197.7167	29	12	8	1955
90	2	70.0592	6	3	3	1955
90	3	780.5831	1262	1032	593	1955
90	4	42.1945	3	3	3	1955
90	5	84.5901	2	2	2	1955
90	6	160.0793	11	10	6	1955
90	7	362.0768	611	421	30	1955
90	8	62.8950	3	3	3	1955
90	9	117.4455	18	10	5	1955
90	10	77.3595	10	8	5	1955
91	1	259.2550	20	9	4	2668
91	2	102.8420	9	9	9	2668
91	3	1061.8074	1723	1434	787	2668
91	4	56.0401	3	3	2	2668
91	5	122.0135	11	9	8	2668
91	6	220.8549	18	16	10	2668
91	7	488.5298	847	567	37	2668
91	8	88.2721	5	5	5	2668
91	9	159.7248	24	10	6	2668
91	10	108.6604	8	5	4	2668
92	1	294.2154	21	9	4	3041
